State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8649442359188669	0.08982526393826701	0.03710808553926107	3.8263687686217405E-6	6.914873185347293E-7	0.0010097863525438543	2.5404023282337985E-5	6.498972144899255E-4	0.004406523060286223	0.0020262860969154505
2	0.05146202337096984	0.7942188695247078	0.005221121280633958	0.0011922677439556062	6.481246109651706E-4	0.021105013078057115	0.0015897185298893272	0.0019222313226591899	0.10703285111703548	0.015607779421126615
3	0.044002315658125596	0.0118187337163538	0.8652403032458107	0.054647067584583785	0.021431748807692396	0.002859830987433612	0.0	0.0	0.0	0.0
4	3.902781828655924E-6	9.00416066179104E-4	0.019121461235934428	0.9203607479379082	0.03268660312278674	0.026857791949182065	0.0	6.90769061807127E-5	0.0	0.0
5	0.0	9.054040687171979E-4	0.011749197114303497	0.052958715494578604	0.8606707164051636	0.026886394935192588	0.046458318236286156	3.712537457584882E-4	0.0	0.0
6	1.5799778340542785E-4	0.005982213456517717	3.702705938817187E-4	0.009719192880316106	0.005901289985746218	0.9381918299046661	0.032916793204159925	8.409349337576456E-4	0.005741881313725571	1.7759594382358562E-4
7	1.0230256388585686E-5	5.903223746250278E-4	0.0	0.0	0.013570768605250978	0.044339186827984246	0.940894551103994	5.948467970077235E-4	9.40347492949693E-8	0.0
8	3.3920685433317044E-4	0.0016718532448011642	0.0	1.1258381942929557E-4	2.0911006811867849E-4	0.002821044494476031	0.0014091921582018263	0.8791836177550929	0.11256202070312434	0.0016913709024225837
9	6.568750790329112E-5	0.002926485278313144	0.0	0.0	0.0	5.502169066186266E-4	0.0	0.00326834811768231	0.9896433949141182	0.003545867275364287
10	1.3514568390978968E-4	0.0018656587671898627	0.0	0.0	0.0	6.871887492316858E-5	0.0	1.793240831577024E-4	0.0156658945313989	0.9820852580594205
